Date,curr_living,curr_econ,econ_exp,job_exp
2009/01,74,37,69,48
2009/02,78,40,68,43
2009/03,73,36,64,48
2009/04,83,65,93,69
2009/05,85,90,105,79
2009/06,87,92,102,81
2009/07,86,93,106,80
2009/08,93,107,115,91
2009/09,92,108,115,93
2009/10,95,112,113,91
2009/11,94,105,107,88
2009/12,90,102,108,90
2010/01,94,102,111,92
2010/02,94,97,103,86
2010/03,95,100,103,89
2010/04,96,100,104,92
2010/05,92,98,104,96
2010/06,93,100,104,97
2010/07,94,101,106,101
2010/08,94,99,102,100
2010/09,88,93,101,96
2010/10,92,92,100,95
2010/11,96,99,105,97
2010/12,91,96,102,92
2011/01,94,91,93,100
2011/02,95,86,97,92
2011/03,86,68,76,84
2011/04,86,78,84,84
2011/05,85,82,88,88
2011/06,86,80,86,90
2011/07,86,81,86,87
2011/08,84,71,78,83
2011/09,82,65,76,88
2011/10,81,63,80,83
2011/11,87,75,85,85
2011/12,85,69,76,76
2012/01,82,68,80,77
2012/02,88,71,81,80
2012/03,91,77,85,85
2012/04,90,81,91,88
2012/05,88,82,90,89
2012/06,87,73,80,83
2012/07,84,73,75,79
2012/08,89,74,82,81
2012/09,84,72,84,87
2012/10,90,74,83,81
2012/11,88,72,82,80
2012/12,85,71,88,82
2013/01,91,68,87,83
2013/02,93,75,91,87
2013/03,93,76,90,86
2013/04,94,77,86,87
2013/05,93,80,93,89
2013/06,93,83,94,90
2013/07,95,87,92,86
2013/08,91,82,90,85
2013/09,94,83,92,89
2013/10,94,86,92,89
2013/11,94,87,93,88
2013/12,92,83,90,85
2014/01,95,82,92,85
2014/02,95,84,93,87
2014/03,92,86,95,88
2014/04,94,90,96,92
2014/05,92,81,92,88
2014/06,95,81,95,90
2014/07,92,77,88,85
2014/08,90,82,93,88
2014/09,92,80,90,88
2014/10,91,77,83,82
2014/11,91,73,84,83
2014/12,90,68,81,78
2015/01,89,74,87,80
2015/02,90,71,83,79
2015/03,92,71,83,75
2015/04,92,73,84,77
2015/05,92,77,83,77
2015/06,91,64,75,74
2015/07,90,66,83,75
2015/08,91,68,80,79
2015/09,91,71,82,83
2015/10,91,78,86,83
2015/11,92,75,83,80
2015/12,91,74,80,77
2016/01,92,67,77,70
2016/02,92,65,76,75
2016/03,95,72,82,75
2016/04,91,73,83,76
2016/05,90,71,78,68
2016/06,92,69,78,73
2016/07,92,70,79,73
2016/08,95,73,83,78
2016/09,92,73,83,79
2016/10,93,73,79,77
2016/11,91,60,62,67
2016/12,91,58,68,70
2017/01,91,55,72,73
2017/02,92,59,75,73
2017/03,95,63,83,80
2017/04,94,73,92,86
2017/05,93,85,118,121
2017/06,95,99,116,121
2017/07,98,101,112,110
2017/08,95,97,108,112
2017/09,97,94,99,101
2017/10,96,96,103,103
2017/11,96,104,107,107
2017/12,95,98,107,104
2018/01,96,93,106,100
2018/02,98,94,101,96
2018/03,99,93,99,98
2018/04,100,95,101,101
2018/05,98,97,106,100
2018/06,99,95,102,97
2018/07,93,86,96,92
2018/08,92,77,89,88
2018/09,96,74,82,83
2018/10,94,74,82,81
2018/11,93,70,78,79
2018/12,92,72,78,80
2019/01,93,74,81,79
2019/02,99,79,85,80
2019/03,97,79,85,83
2019/04,98,85,91,89
2019/05,95,79,82,84
2019/06,95,79,83,84
2019/07,95,78,79,84
2019/08,95,71,77,83
2019/09,97,79,85,84
2019/10,96,81,85,85
2019/11,95,83,88,87
2019/12,96,82,87,85
