Date,News,curr_living_CSI
2013/01,-3.3,6
2013/02,-4.6,2.3
2013/03,-8.8,3.4
2013/04,-10.7,2.3
2013/05,4.1,1.1
2013/06,-4.9,3.4
2013/07,4.8,8.1
2013/08,3.1,3.4
2013/09,9.4,3.5
2013/10,2.7,4.6
2013/11,4,5.7
2013/12,-1.9,8.2
2014/01,-5.9,5.7
2014/02,4.8,4.5
2014/03,8.4,1.1
2014/04,13.8,3.3
2014/05,5.3,0
2014/06,14.1,1.1
2014/07,9.8,-2.2
2014/08,18.4,1.1
2014/09,-1.7,4.5
2014/10,1.8,0
2014/11,4.3,-2.2
2014/12,3.8,-3.3
2015/01,12.1,-4.3
2015/02,9.3,-4.3
2015/03,8.5,-1.1
2015/04,10.4,-1.1
2015/05,6.4,2.2
2015/06,-1.1,-2.2
2015/07,-1.5,-2.2
2015/08,-12.4,-2.2
2015/09,-1.5,-2.2
2015/10,14.1,1.1
2015/11,1,2.2
2015/12,1.3,2.2
2016/01,-8.1,1.1
2016/02,-11.3,1.1
2016/03,-8.2,1.1
2016/04,-13,-1.1
2016/05,-11.7,-2.2
2016/06,-9.6,1.1
2016/07,2.1,2.2
2016/08,3.1,1.1
2016/09,-10.7,0
2016/10,-17.2,0
2016/11,-14.3,-2.2
2016/12,-7.2,-2.2
2017/01,2.4,-3.3
2017/02,3.8,-2.2
2017/03,-3,-2.2
2017/04,13.6,-1.1
2017/05,20.1,1.1
2017/06,22.5,3.3
2017/07,6.3,4.4
2017/08,-2.6,3.3
2017/09,12.5,3.3
2017/10,20.9,2.2
2017/11,28.9,6.7
2017/12,16.4,5.6
2018/01,15,8
2018/02,7.3,6.8
2018/03,2.8,6.7
2018/04,-8.1,5.6
2018/05,-8.9,3.3
2018/06,-8.9,0
2018/07,-18.5,-4.2
2018/08,0.4,-5.3
2018/09,-0.2,-4.3
2018/10,-21.1,-3.2
2018/11,-20.4,-6.3
2018/12,-15.8,-5.3
2019/01,-14.1,-4.3
2019/02,-8.9,-1.1
2019/03,-7.5,-4.2
2019/04,-3.4,-2.1
2019/05,-10.5,-4.2
2019/06,-6.9,-3.2
2019/07,-2.1,0
2019/08,-13.9,1.1
2019/09,-5.9,2.2
2019/10,6.7,1.1
2019/11,11.3,2.2
2019/12,14.7,3.4
2020/01,4.9,3.3
2020/02,-15.1,-2.2
2020/03,-26.7,-8.8
2020/04,-21.7,-17.2
2020/05,-5,-13.2
2020/06,4.2,-7.7
2020/07,19.1,-6.6
2020/08,20,-5.6
2020/09,4.4,-12
2020/10,13.2,-6.5
2020/11,8.6,-3.3
2020/12,7.6,-6.5
2021/01,12.2,-7.5
2021/02,32,-4.4
2021/03,63.3,7.2
2021/04,50.7,19.5
2021/05,29,17.7
2021/06,20.6,10.7
2021/07,11,7.1
2021/08,10.7,7.1
2021/09,7.3,12.3
2021/10,-0.3,7
2021/11,-1.7,3.4
2021/12,-1.7,5.8
2022/01,-9.7,5.8
2022/02,-3.4,3.4
2022/03,-9.4,1.1
2022/04,-12.7,0
2022/05,-11,-4.3
2022/06,-29.4,-6.5
2022/07,-22.8,-11
2022/08,-11.2,-8.8
2022/09,-19.7,-6.6
2022/10,-24.1,-9.8
2022/11,-20.8,-9.8
2022/12,-26,-8.8
2023/01,-9.5,-9.9
2023/02,-6.2,-8.9
2023/03,-9.5,-7.8
2023/04,-9.5,-5.4
2023/05,-6.7,-1.1
2023/06,21,2.3
2023/07,12.2,12.3
2023/08,1.2,9.6
2023/09,17.7,4.7
2023/10,20.1,6
2023/11,16.3,4.8
2023/12,25,6
2024/01,6.4,8.5
2024/02,10.8,9.8
2024/03,17.8,7.2
2024/04,13.7,2.3
2024/05,13.6,0
2024/06,7.6,1.1
2024/07,4.4,0
2024/08,0.4,-1.1
2024/09,-2.1,1.1
2024/10,5.4,2.3
2024/11,-1.8,4.6
2024/12,-17.1,-1.1
