Date,department_store,mart,supermarket
2013/01,-7,-20.5,-7.3
2013/02,1.4,9.8,16.6
2013/03,7.5,-1.8,2.6
2013/04,-1.9,-4.3,2.4
2013/05,1.1,-1.7,0.2
2013/06,3.7,6.1,1.2
2013/07,-3.7,-1.9,1
2013/08,5.1,0.1,0.7
2013/09,0.2,-1.1,0.6
2013/10,-3.7,1,3.4
2013/11,2.1,2.3,6.1
2013/12,-2.5,-2.9,0.7
2014/01,3,22.4,18.6
2014/02,-5.3,-18.5,-11.9
2014/03,-5.1,-1.9,5.3
2014/04,-6.2,-3.4,4.5
2014/05,-2.6,0.7,4.8
2014/06,-9.2,-5.5,2.4
2014/07,-2,-4.9,1.4
2014/08,2.3,2.8,-1
2014/09,-9.8,-12.8,-5.5
2014/10,-7.8,-4,1.7
2014/11,-11.2,-5.5,-1.4
2014/12,-5.8,-6,4.2
2015/01,-9.8,-24.1,-15.3
2015/02,1.9,23.8,9.6
2015/03,-9.3,-8.1,-3.8
2015/04,-2.6,-0.6,-0.6
2015/05,0.7,-0.7,0.8
2015/06,-14.1,-11.5,1.4
2015/07,-2.4,-1.5,0.5
2015/08,-6.1,-8.7,2
2015/09,3.1,10,5.4
2015/10,10.4,-1.2,0.5
2015/11,1.7,-4.4,2
2015/12,-4.3,-4,-3.8
2016/01,5.9,11.2,7.4
2016/02,-0.7,-8.4,0.7
2016/03,1,-5.4,-0.7
2016/04,2,-2.9,1.2
2016/05,-4.7,-7.4,-0.7
2016/06,12.2,3.6,-3.7
2016/07,7.3,5.4,0.8
2016/08,2.3,2.7,0
2016/09,1,-3.3,-3
2016/10,2.4,5.6,-0.6
2016/11,-5.7,-1.7,-0.2
2016/12,0.1,-0.2,3.2
2017/01,-2,7.8,6.8
2017/02,-5.9,-19.5,-8.7
2017/03,-3.7,2.7,3.6
2017/04,-2.5,2.9,-0.4
2017/05,-5.1,1.5,-0.5
2017/06,-3.5,2.6,1.7
2017/07,-5.6,0.6,-1.4
2017/08,-4.4,-5.1,-2.4
2017/09,0.8,-3.7,-0.9
2017/10,-9.5,3.9,2.9
2017/11,6.2,1.2,1.7
2017/12,0.5,3.2,-0.2
2018/01,-10.1,-18.3,-9.1
2018/02,7,27.4,13.9
2018/03,6.9,3.1,1.2
2018/04,-1.3,-2,0.1
2018/05,2.2,-3.8,0
2018/06,4,2,1
2018/07,3.5,-4.3,1.3
2018/08,2.9,-3.5,0.5
2018/09,4.3,1.8,2.7
2018/10,1.4,-16,-6.6
2018/11,-4,-6.5,-2.6
2018/12,1.2,-3.5,-0.9
2019/01,6.1,11.2,-1.5
2019/02,-4.4,-14.7,-11
2019/03,4.8,-0.6,-4.9
2019/04,-0.3,-7.7,-5.8
2019/05,4.7,-2.4,-5.6
2019/06,6.5,-6.5,-6.3
2019/07,-1.5,-11,-7.2
2019/08,6.2,3.7,-1.8
2019/09,-2.6,-5.7,-5.2
2019/10,-2.5,-1.5,-3.5
2019/11,4.1,3.7,-3.3
2019/12,-3.3,-3.6,-4.9
2020/01,2.6,7.7,6.8
2020/02,-21,-4.4,2.8
2020/03,-36.9,-7.5,4.3
2020/04,-14.2,6.4,5.3
2020/05,-7.6,-1,8.1
2020/06,-3.1,-3.1,1.2
2020/07,-5.1,-1.6,-3.1
2020/08,-8,-0.7,-4.8
2020/09,-7.8,8.4,3.6
2020/10,-0.1,4,-6
2020/11,-7,-1.8,-2.3
2020/12,-16,6.9,2.9
2021/01,-6.4,-8.7,-9.9
2021/02,33.5,13.5,-2.3
2021/03,60.9,0.7,-10.8
2021/04,30.5,-0.7,-8.1
2021/05,18,4.1,-13.3
2021/06,13.4,-1,-8.1
2021/07,11.5,8.6,-1.2
2021/08,15,-3.2,-5.2
2021/09,22.5,-10.1,-3.7
2021/10,22.9,4.7,0.2
2021/11,22.3,-8.8,-7.4
2021/12,31.8,-8.2,-8.5
2022/01,29.6,7,7.6
2022/02,6.1,-20.9,-17
2022/03,7.7,-1.3,-1.6
2022/04,14.7,-3.9,-5.8
2022/05,13,-8.5,-4.4
2022/06,9.5,-3.9,-6.3
2022/07,20.9,-6.6,-5.9
2022/08,13.2,-2.5,-3.3
2022/09,1.6,-5.9,-11.7
2022/10,-0.8,-8,-4.5
2022/11,-9.3,2.3,-2
2022/12,0.2,-0.2,-5.9
2023/01,-8.9,-3.7,-7.4
2023/02,7.4,-2.5,2
2023/03,4.6,-3.6,-2.4
2023/04,3.6,0.8,2.9
2023/05,2.6,-0.9,2.9
2023/06,0.2,1.2,5.5
2023/07,1.4,2.6,1.2
2023/08,-1.9,-0.8,-0.2
2023/09,-0.1,5.7,6.9
2023/10,-3,-0.3,-0.4
2023/11,7.1,5.9,2.4
2023/12,8.2,1.9,2
2024/01,2.3,-10.7,-8.8
2024/02,1.4,19.7,12.3
2024/03,2,4.7,-1.4
2024/04,-8.4,-6,-6
2024/05,-7.7,1.4,-3.1
2024/06,-0.6,-0.3,-4.9
2024/07,-6.6,-8.7,-5.2
2024/08,-1.1,1.7,-0.3
2024/09,-0.9,-5.4,-5.1
2024/10,-4.5,-5.9,0
2024/11,-0.6,-1.1,-1.6
2024/12,-2.1,-7.1,-1.6
