Date,living,econ
2008/09,73,41
2008/10,70,30
2008/11,73,30
2008/12,70,23
2009/01,70,32
2009/02,77,39
2009/03,69,36
2009/04,81,61
2009/05,85,91
2009/06,86,92
2009/07,88,93
2009/08,94,111
2009/09,94,112
2009/10,98,118
2009/11,94,106
2009/12,92,105
2010/01,92,101
2010/02,92,95
2010/03,91,100
2010/04,93,95
2010/05,89,98
2010/06,91,101
2010/07,92,102
2010/08,92,100
2010/09,86,94
2010/10,89,91
2010/11,90,93
2010/12,90,90
2011/01,91,87
2011/02,88,81
2011/03,82,62
2011/04,83,73
2011/05,82,80
2011/06,83,75
2011/07,83,78
2011/08,83,67
2011/09,80,61
2011/10,84,65
2011/11,85,72
2011/12,84,68
2012/01,83,65
2012/02,85,68
2012/03,84,70
2012/04,85,76
2012/05,86,78
2012/06,86,72
2012/07,84,69
2012/08,85,67
2012/09,79,62
2012/10,84,68
2012/11,87,67
2012/12,81,64
2013/01,88,64
2013/02,86,69
2013/03,87,71
2013/04,88,73
2013/05,89,77
2013/06,87,80
2013/07,90,81
2013/08,87,80
2013/09,84,75
2013/10,87,81
2013/11,90,85
2013/12,90,82
2014/01,90,79
2014/02,90,80
2014/03,89,86
2014/04,90,87
2014/05,89,73
2014/06,89,78
2014/07,89,75
2014/08,90,81
2014/09,92,81
2014/10,88,77
2014/11,87,70
2014/12,87,68
2015/01,88,74
2015/02,86,69
2015/03,87,71
2015/04,88,74
2015/05,90,76
2015/06,87,60
2015/07,84,61
2015/08,88,69
2015/09,88,72
2015/10,89,78
2015/11,92,76
2015/12,90,76
2016/01,87,66
2016/02,84,63
2016/03,86,68
2016/04,87,72
2016/05,87,65
2016/06,87,66
2016/07,88,68
2016/08,86,71
2016/09,87,69
2016/10,89,68
2016/11,83,54
2016/12,84,53
2017/01,87,49
2017/02,87,55
2017/03,84,55
2017/04,85,65
2017/05,86,75
2017/06,90,85
2017/07,95,91
2017/08,90,89
2017/09,90,82
2017/10,92,86
2017/11,93,95
2017/12,92,90
2018/01,89,84
2018/02,91,83
2018/03,92,82
2018/04,88,81
2018/05,90,86
2018/06,88,79
2018/07,86,76
2018/08,84,66
2018/09,86,63
2018/10,90,66
2018/11,87,59
2018/12,87,62
2019/01,87,65
2019/02,91,68
2019/03,89,66
2019/04,89,73
2019/05,88,68
2019/06,89,67
2019/07,87,64
2019/08,87,61
2019/09,87,66
2019/10,91,73
2019/11,90,71
2019/12,89,73
2020/01,90,75
2020/02,87,65
2020/03,79,38
2020/04,70,32
2020/05,75,36
2020/06,81,44
2020/07,82,49
2020/08,80,51
2020/09,73,42
2020/10,82,55
2020/11,85,66
2020/12,82,52
2021/01,82,52
2021/02,81,60
2021/03,83,67
2021/04,87,74
2021/05,89,79
2021/06,92,88
2021/07,87,78
2021/08,86,74
2021/09,87,73
2021/10,88,76
2021/11,87,75
2021/12,88,73
2022/01,86,70
2022/02,85,70
2022/03,84,65
2022/04,89,67
2022/05,85,68
2022/06,82,60
2022/07,81,44
2022/08,80,49
2022/09,81,53
2022/10,82,51
2022/11,83,48
2022/12,83,55
2023/01,82,53
2023/02,81,48
2023/03,84,53
2023/04,87,62
2023/05,90,66
2023/06,89,70
2023/07,90,75
2023/08,89,73
2023/09,87,66
2023/10,88,64
2023/11,87,61
2023/12,87,66
2024/01,88,70
2024/02,87,69
2024/03,85,66
2024/04,87,63
2024/05,88,64
2024/06,87,65
2024/07,91,73
2024/08,88,69
2024/09,87,69
2024/10,89,70
2024/11,90,70
2024/12,85,52
